1553729039.447792,1
1553729039.553439,8
1553729039.658693,15
1553729039.763345,20
1553729039.867977,19
1553729039.972860,19
1553729040.077147,18
1553729040.181829,17
1553729040.287078,19
1553729040.391761,19
1553729040.496171,19
1553729040.601332,19
1553729040.705947,20
1553729040.809950,19
1553729040.914138,20
1553729041.018974,19
1553729041.124441,18
1553729041.229190,17
1553729041.332988,15
1553729041.438120,18
1553729041.543269,16
1553729041.648396,19
1553729041.752975,17
1553729041.858027,17
1553729041.962256,17
1553729042.066974,16
1553729042.172519,18
1553729042.277345,16
1553729042.382645,18
1553729042.488586,16
1553729042.593918,18
1553729042.698411,16
1553729042.803637,18
1553729042.908867,17
1553729043.013710,18
1553729043.118751,18
1553729043.223464,19
1553729043.327903,19
1553729043.432469,18
1553729043.538517,19
1553729043.643412,20
1553729043.747830,18
1553729043.852166,18
1553729043.956679,16
1553729044.062157,13
1553729044.166956,12
1553729044.272246,13
1553729044.376271,15
1553729044.480813,14
1553729044.585323,16
1553729044.689906,14
1553729044.794641,15
1553729044.901774,17
1553729045.005724,17
1553729045.111290,18
1553729045.215796,17
1553729045.321008,16
1553729045.429280,14
1553729045.534094,15
1553729045.638915,13
1553729045.744243,15
1553729045.849155,13
1553729045.953980,15
1553729046.059111,14
1553729046.163641,17
1553729046.268204,15
1553729046.373793,16
1553729046.478424,17
1553729046.583369,17
1553729046.687926,17
1553729046.792984,18
1553729046.897608,19
1553729047.002427,18
1553729047.107427,19
1553729047.212714,19
1553729047.317081,19
1553729047.422354,18
1553729047.527338,20
1553729047.631680,18
1553729047.736123,18
1553729047.841193,19
1553729047.946223,18
1553729048.051357,16
1553729048.156388,18
1553729048.262012,18
1553729048.367073,16
1553729048.471450,12
1553729048.575888,18
1553729048.681493,10
1553729048.786716,8
1553729048.891534,6
1553729048.998118,6
1553729049.103494,8
1553729049.208032,7
1553729049.313167,8
1553729049.417736,8
1553729049.523136,9
1553729049.627891,10
1553729049.732713,9
1553729049.836678,10
1553729049.940948,10
1553729050.045788,10
1553729050.152108,11
1553729050.258176,10
1553729050.362626,12
1553729050.467623,11
1553729050.572643,12
1553729050.677856,12
1553729050.783208,12
1553729050.887972,12
1553729050.993732,13
1553729051.098145,12
1553729051.202298,13
1553729051.306625,14
1553729051.412253,14
1553729051.517131,14
1553729051.622539,14
1553729051.727593,14
1553729051.833025,14
1553729051.937932,15
1553729052.043291,15
1553729052.147390,15
1553729052.252840,17
1553729052.358896,17
1553729052.463574,16
1553729052.569404,18
1553729052.673979,20
1553729052.778517,20
1553729052.883696,15
1553729052.989204,15
1553729053.094174,13
1553729053.199425,13
1553729053.303847,11
1553729053.408030,13
1553729053.512952,14
1553729053.617674,14
1553729053.722518,13
1553729053.828514,15
1553729053.933261,13
1553729054.037951,14
1553729054.141807,15
1553729054.246024,14
1553729054.351286,13
1553729054.456319,13
1553729054.561951,14
1553729054.666710,12
1553729054.771532,13
1553729054.876048,12
1553729054.982115,13
1553729055.087022,12
1553729055.191372,14
1553729055.296119,14
1553729055.402111,14
1553729055.506756,14
1553729055.612458,14
1553729055.717052,15
1553729055.822525,15
1553729055.928032,16
1553729056.033200,17
1553729056.138217,17
1553729056.243312,17
1553729056.348470,17
1553729056.453756,18
1553729056.558901,19
1553729056.664085,18
1553729056.769482,18
1553729056.874000,19
1553729056.978760,18
1553729057.083495,18
1553729057.188918,19
1553729057.294064,18
1553729057.398566,18
1553729057.503657,18
1553729057.608100,16
1553729057.713422,15
1553729057.817706,16
1553729057.922523,15
1553729058.027120,15
1553729058.132169,17
1553729058.237842,16
1553729058.343183,16
1553729058.447688,18
1553729058.552497,17
1553729058.657205,20
1553729058.761947,17
1553729058.866357,19
1553729058.971904,13
1553729059.076676,10
1553729059.181968,8
1553729059.285943,8
1553729059.390851,9
1553729059.494985,10
1553729059.599678,10
1553729059.704079,10
1553729059.810148,9
1553729059.916638,11
1553729060.022048,11
1553729060.127468,10
1553729060.233147,11
1553729060.337978,11
1553729060.443351,11
1553729060.549517,11
1553729060.654683,11
1553729060.759340,11
1553729060.863356,11
1553729060.969048,12
1553729061.073700,12
1553729061.178584,12
1553729061.282790,13
1553729061.387608,13
1553729061.492341,14
1553729061.598589,14
1553729061.704062,15
1553729061.809514,13
1553729061.914414,16
1553729062.019064,17
1553729062.123658,16
